payment_id,amount,failure_code,failure_category,retry_count,ai_diagnosis,candidate_actions,selected_action,expected_recovery,actual_result,recovered_amount,stopping_reason,timestamp_step
PAY_005384,1377,AUTHENTICATION_FAILED,CUSTOMER,0,BLIND_RETRY,{},RETRY_NOW,514.998,FAILED,0.0,SINGLE_RETRY_EXHAUSTED,0
PAY_000553,140,NETWORK_ERROR,TEMPORARY,0,BLIND_RETRY,{},RETRY_NOW,68.25,FAILED,0.0,SINGLE_RETRY_EXHAUSTED,0
PAY_003145,368,BANK_TIMEOUT,TEMPORARY,0,BLIND_RETRY,{},RETRY_NOW,213.99200000000002,SUCCESS,368.0,,0
PAY_006918,752,GATEWAY_TIMEOUT,TEMPORARY,0,BLIND_RETRY,{},RETRY_NOW,404.576,FAILED,0.0,SINGLE_RETRY_EXHAUSTED,0
PAY_002057,876,UPI_TECHNICAL_ERROR,TEMPORARY,0,BLIND_RETRY,{},RETRY_NOW,453.76800000000003,FAILED,0.0,SINGLE_RETRY_EXHAUSTED,0
PAY_001926,1256,LIMIT_EXCEEDED,CUSTOMER,0,BLIND_RETRY,{},RETRY_NOW,278.204,FAILED,0.0,SINGLE_RETRY_EXHAUSTED,0
PAY_000635,1682,CARD_EXPIRED,CUSTOMER,0,BLIND_RETRY,{},RETRY_NOW,200.158,FAILED,0.0,SINGLE_RETRY_EXHAUSTED,0
PAY_006083,505,GATEWAY_TIMEOUT,TEMPORARY,0,BLIND_RETRY,{},RETRY_NOW,273.20500000000004,FAILED,0.0,SINGLE_RETRY_EXHAUSTED,0
PAY_009271,2136,CARD_EXPIRED,CUSTOMER,0,BLIND_RETRY,{},RETRY_NOW,196.512,FAILED,0.0,SINGLE_RETRY_EXHAUSTED,0
PAY_009679,1950,LIMIT_EXCEEDED,CUSTOMER,0,BLIND_RETRY,{},RETRY_NOW,496.27500000000003,FAILED,0.0,SINGLE_RETRY_EXHAUSTED,0
PAY_000106,747,BANK_TIMEOUT,TEMPORARY,0,BLIND_RETRY,{},RETRY_NOW,432.1395,FAILED,0.0,SINGLE_RETRY_EXHAUSTED,0
PAY_003042,274,BANK_TIMEOUT,TEMPORARY,0,BLIND_RETRY,{},RETRY_NOW,156.865,SUCCESS,274.0,,0
PAY_001710,2169,CARD_EXPIRED,CUSTOMER,0,BLIND_RETRY,{},RETRY_NOW,232.083,FAILED,0.0,SINGLE_RETRY_EXHAUSTED,0
PAY_000090,1097,CARD_EXPIRED,CUSTOMER,0,BLIND_RETRY,{},RETRY_NOW,128.89749999999998,FAILED,0.0,SINGLE_RETRY_EXHAUSTED,0
PAY_007015,218,CUSTOMER_DECLINED,HARD,0,BLIND_RETRY,{},RETRY_NOW,8.065999999999999,FAILED,0.0,SINGLE_RETRY_EXHAUSTED,0
PAY_003175,279,INSUFFICIENT_FUNDS,CUSTOMER,0,BLIND_RETRY,{},RETRY_NOW,50.22,FAILED,0.0,SINGLE_RETRY_EXHAUSTED,0
PAY_000918,178,CARD_EXPIRED,CUSTOMER,0,BLIND_RETRY,{},RETRY_NOW,16.91,FAILED,0.0,SINGLE_RETRY_EXHAUSTED,0
PAY_007834,1677,BANK_TIMEOUT,TEMPORARY,0,BLIND_RETRY,{},RETRY_NOW,924.8655,SUCCESS,1677.0,,0
PAY_006733,1837,GATEWAY_TIMEOUT,TEMPORARY,0,BLIND_RETRY,{},RETRY_NOW,1015.8610000000001,SUCCESS,1837.0,,0
